terminals 1  10.12.1.2
terminals 2  10.12.1.4
terminals 3  10.12.2.2
terminals 4  10.12.2.4
terminals 5  10.12.3.2
terminals 6  10.12.3.4
terminals 7  10.12.4.2
terminals 8  10.12.4.4
terminals 9  10.12.5.2
terminals 10  10.12.5.4
terminals 11  10.12.6.2
terminals 12  10.12.8.2
terminals 13  10.12.8.4
terminals 14  10.12.8.6
terminals 15  10.12.9.2
terminals 16  10.12.9.4
terminals 17  10.12.9.6
terminals 18  10.12.10.2
terminals 19  10.12.11.2
terminals 20  10.12.11.4
terminals 21  10.12.12.2
terminals 22  10.12.13.2
terminals 23  10.12.14.2
terminals 24  10.12.14.4
terminals 25  10.12.15.2
terminals 26  10.12.16.2
terminals 27  10.12.16.4
terminals 28  10.12.16.6
terminals 29  10.12.17.2
terminals 30  10.12.17.4
terminals 31  10.12.17.6
terminals 32  10.12.18.2
terminals 33  10.12.19.2
terminals 34  10.12.20.2
terminals 35  10.12.21.2
terminals 36  10.12.21.4
terminals 37  10.12.21.6
terminals 38  10.12.21.8
terminals 39  10.12.22.2
terminals 40  10.12.24.2
terminals 41  10.12.25.2
terminals 42  10.12.26.2
terminals 43  10.12.27.2
terminals 44  10.12.28.2
terminals 45  10.12.29.2
terminals 46  10.12.29.4
terminals 47  10.12.29.6
terminals 48  10.12.30.2
terminals 49  10.12.30.4
terminals 50  10.12.30.6
