Simulatation Second,ReceiveRate,packetsReceived
0 0 0
1 0 0
2 863520 514
3 5360880 3191
4 7113120 4234
5 4878720 2904
6 3855600 2295
7 3702720 2204
8 4470480 2661
9 5139120 3059
10 4594800 2735
11 3622080 2156
12 4159680 2476
13 5090400 3030
14 5223120 3109
15 5735520 3414
16 3247440 1933
17 6301680 3751
18 3828720 2279
19 5952240 3543
20 5629680 3351
21 6269760 3732
22 4151280 2471
23 4272240 2543
24 5391120 3209
25 4655280 2771
26 4018560 2392
27 5401200 3215
28 3497760 2082
29 5723760 3407
30 4082400 2430
31 4720800 2810
32 4991280 2971
33 4346160 2587
34 7348320 4374
35 4258800 2535
36 4006800 2385
37 5369280 3196
38 4940880 2941
39 4675440 2783
40 5530560 3292
41 4287360 2552
42 3988320 2374
43 3405360 2027
44 4860240 2893
45 3336480 1986
46 4746000 2825
47 4433520 2639
48 3575040 2128
49 4084080 2431
